0_ns,8_ns,12_ns,16_ns,20_ns,24_ns
2.848344539,3.870938863,4.224826525,4.740891016,5.246318665,4.943364664
2.762382371,3.571564476,4.400672189,4.44752647,5.014011781,4.970261131
2.76405454,3.885449218,4.406653148,4.745172854,4.999490112,4.965161425
2.725466864,3.666866845,4.543657815,4.719554351,5.168942948,4.960526527
2.811874673,3.675958446,4.386740858,4.517582195,5.069486134,5.073275767
2.880274837,3.791068618,4.506666218,4.78698284,5.103231811,5.052801865
2.694501365,3.636269067,4.26208414,4.368899993,4.909409759,5.216997039
2.669357742,3.732713809,4.492281893,4.577427532,5.072572095,4.981509517
2.764243219,3.672012612,4.568619504,4.580395774,4.945716412,5.0155035
2.852576159,3.686950186,4.544891786,4.547946352,4.968998593,4.814727746
2.890492651,3.665904133,4.273140563,4.656782413,4.788023116,4.917185476
2.883676414,3.797250355,4.349786346,4.627264475,5.063405775,5.057641639
2.6426417,3.729579078,4.379025945,4.509915295,5.006253854,5.290074283
2.825475014,3.856518465,4.453247798,4.524905831,4.849039196,4.908685542
2.833178159,3.677732636,4.276447408,4.556160941,5.01056165,5.124509802
2.917958907,3.749014592,4.299921003,4.644473607,4.976111916,5.096024376
2.80128446,3.365410074,4.219181705,4.599030742,4.895351917,4.928823905
2.849028103,3.753380062,4.314213824,4.660943471,4.914145703,4.94794854
2.688494411,3.775942531,4.512148447,4.493072004,5.1960179,4.898385058
2.860513343,3.687897722,4.430117828,4.573629991,5.05731582,4.892312796
2.698742552,3.738319099,4.355322397,4.689974216,4.99106823,5.009003454
2.919705979,3.638392075,4.324659811,4.648531827,5.04285047,4.985045313
2.717779757,3.726927791,4.422603621,4.545731538,5.072231999,5.079425214
2.930202884,3.686250932,4.255518359,4.448250124,5.053682455,5.064754622
2.790305355,3.60740365,4.379739887,4.667885654,4.886086978,5.003316567
2.702700739,3.696257499,4.285402872,4.628704003,5.154013274,5.043218305
2.762696865,3.665451862,4.467562607,4.641188909,4.860983507,5.171662836
2.836116527,3.733975217,4.349727581,4.470603379,5.010373224,4.98765971
2.730678671,3.766572219,4.413240283,4.580341969,4.866751641,5.104989719
2.830228338,3.529795436,4.44404901,4.617596975,4.968408405,4.902002917
2.860687907,3.674831925,4.396370782,4.571497809,5.022568311,4.957783711
2.806717054,3.743805413,4.346973154,4.651177292,4.984224259,4.843297825
2.763838153,3.616552427,4.334188693,4.549311906,5.055484951,4.954165958
2.749841219,3.83262985,4.459696287,4.639767845,5.113936579,4.921266016
2.724987585,3.765821393,4.437755191,4.531189144,5.067979292,4.802400179
2.782080044,3.546266866,4.40539095,4.587035177,4.889793873,4.996217761
2.74773194,3.714960545,4.465423587,4.551777372,4.88372108,4.98682758
2.805501511,3.68734858,4.364568883,4.694984925,5.047805507,5.072893118
2.700833626,3.696714524,4.463110345,4.685337896,5.019733057,4.905893853
2.883785884,3.833081624,4.277893306,4.610348583,5.013597547,5.075280775
2.821402455,3.737152717,4.274920081,4.59011594,5.051852773,5.078543686
2.75335272,3.631267847,4.34377723,4.821252771,5.010140797,4.985710287
2.728340411,3.814191255,4.501734451,4.580206981,4.98271285,5.041251852
2.910092177,3.751617117,4.444982788,4.74686059,4.92104047,5.191195639
2.678078343,3.741882439,4.309691579,4.536769018,4.923834654,5.038194612
2.807852079,3.892108114,4.203041468,4.388008518,5.03959445,4.986447563
2.736623211,3.769475073,4.205587562,4.813085401,4.995700556,5.199948371
2.750976605,3.723810295,4.503144123,4.656169601,5.019207382,5.073803035
2.556494367,3.692510347,4.286712804,4.589899374,4.857386957,5.040049509
3.059328059,3.756264238,4.523913738,4.575563835,5.031606834,5.164842599
2.797730978,3.89868335,4.275795313,4.642957262,5.017763639,4.903589138
2.876185552,3.537130131,4.385134839,4.694142975,4.972303312,4.891215051
2.734393185,3.789749743,4.382694065,4.714305424,4.9253915,5.098898596
2.631654078,3.702272004,4.421984857,4.572851687,5.033850028,4.783491571
2.838204707,3.44429428,4.401139533,4.543893707,4.913735655,4.890304905
2.866145701,3.719244759,4.304333246,4.666268591,4.896041532,4.894344526
2.835842252,3.628601116,4.304301169,4.547786697,5.090913458,4.950940326
2.869233574,3.537790794,4.464582451,4.492651758,5.117740396,4.838906568
2.80368432,3.71905177,4.338790996,4.551528997,5.131242658,5.02952108
2.699724453,3.390203151,4.441655387,4.692342119,4.937585686,4.845619357
2.77404041,3.738867008,4.347120692,4.613157462,4.781372877,4.828049411
2.770274732,3.59110982,4.270242763,4.608638495,5.008150739,5.106252587
2.727814788,3.67837167,4.347287518,4.659462633,5.203182023,4.902227254
2.790584063,3.913356833,4.287275505,4.437895644,4.919475863,5.032596021
2.720390456,3.733367605,4.437483489,4.417267412,5.060035937,5.01418015
2.783960129,3.723721195,4.430915878,4.51064024,4.961686227,5.079232959
2.666611631,3.519793809,4.290421506,4.36962438,5.074157113,5.121964798
2.950183528,3.689751673,4.422050845,4.608732712,5.056405952,5.011271864
2.822371518,3.707380123,4.299588775,4.651517107,4.908584422,4.993154485
2.798483686,3.83578779,4.255833081,4.45955054,4.810441251,5.064045764
2.820295887,3.611117993,4.317119707,4.661629177,5.127038975,5.088430627
2.823639582,3.747225631,4.299496353,4.487627172,4.914502653,4.884374092
2.8424075,3.615499777,4.526030289,4.637139724,4.840967414,4.961082956
2.768827964,3.593805623,4.487604144,4.560994439,4.887687898,5.23224616
2.841149777,3.724563276,4.39548063,4.470791693,5.050449104,4.975194263
2.88908715,3.805606957,4.355719181,4.361888334,4.71800246,5.058042402
2.808956429,3.701962505,4.484184891,4.674218585,5.096102688,4.97197569
2.711088242,3.62387263,4.37404654,4.493380501,5.148397774,4.891407422
3.000089674,3.793160165,4.452330852,4.662674293,5.046067489,4.963737522
2.831931209,3.507880604,4.62600664,4.543530503,5.067038858,4.963490694
2.9229861,3.700779289,4.433257631,4.605290434,5.020411013,5.078049426
2.753212163,3.592185775,4.411672439,4.722220979,5.023036147,5.08354278
2.80015998,3.694587259,4.522773251,4.779788128,4.931717353,5.209019117
2.774043391,3.583281096,4.347049269,4.598083955,5.010220626,5.102855195
2.780669368,3.717991305,4.404567189,4.545092931,4.921097319,4.946937432
2.892973672,3.712770949,4.27758685,4.735619237,4.959717932,4.976976607
2.739779304,3.726145184,4.312712814,4.556439444,5.141014588,5.112629001
2.745265043,3.782421304,4.496771246,4.528078337,5.056424365,5.307785102
2.923982472,3.755813636,4.161250266,4.569245335,5.076023563,5.118375408
2.746990818,3.615968766,4.343536446,4.479173525,4.927138525,5.18501084
2.85744907,3.689797976,4.397425836,4.473708833,4.94056467,5.01683725
2.852485889,3.76737291,4.427753879,4.695406434,4.943987314,4.945168891
2.767271115,3.711334557,4.329758672,4.628897579,4.966771596,4.926559808
2.920809041,3.784736528,4.275715903,4.564954146,5.056424481,4.791377704
2.787192192,3.638151635,4.338901047,4.664060567,4.971383752,4.992248479
2.847797204,3.659838572,4.20992393,4.525509524,4.943077793,4.857181945
2.797664944,3.784940872,4.375121401,4.468721974,5.160041708,4.964856711
2.932662556,3.822691386,4.355622025,4.662279321,4.892087386,5.111277033
2.806392154,4.002067571,4.3554238,4.603716251,5.180911646,4.872322092
2.76399819,3.636060613,4.449565111,4.530290434,5.104323846,4.970314344
2.93917076,3.627342304,4.456357166,4.697707394,4.822757382,4.942830832
2.804870028,3.86486001,4.426060007,4.726354148,5.051524242,5.02217232
2.861626106,3.806339467,4.481349858,4.720997361,5.0994463,5.005582467
2.703641355,3.76028167,4.426131362,4.743478189,4.979756802,4.96000109
2.840104601,3.701303203,4.379151387,4.5519212,4.839548547,5.129188897
2.512340895,3.614264004,4.029772383,3.836125655,3.531948135,3.634017907
2.457414985,4.257903227,3.850858445,3.706445868,3.534182753,3.810532941
2.56046791,4.276838603,3.913984366,3.847573664,3.566637767,3.670667311
2.452252944,4.434045362,3.778394317,3.863538438,3.60219093,3.841333895
4.503091286,4.30346968,4.58071524,4.73494663,5.12326345,5.143243165
